Cheese Burger,The perfect burger ,3.65,MainCourse
Chicken Burger,A classic choice,4.6,MainCourse
Fish Burger,Top Selling cheeseburger in Singapore,5.4,MainCourse
Grilled Chicken Wrap,Goodness of wholegrain tortila wrap ,6.3,MainCourse
Chicken Nuggets,An all time favourite,5.15,menuItem
Chicken Wings ,Guaranteed to impress,5.25,menuItem
French Fries,Crispy friesss,3.75,menuItem
Apple Pie,An all time classic ,1.65,Desserts
Vanilla Soft Serve,Vanilla ice cream served in a cone,0.8,Desserts
Chocolate Cone ,Chocolate ice cream served in a cone,1.2,Desserts
Strawberry Ice Cream,Strawberry ice cream served in a cone ,2.0,Desserts
Oreo Ice Cream,Crowd Favourite,2.5,Desserts
Coke,Classic,2.0,Beverages
Milo,Meeting your energy needs,2.5,Beverages
Ice Lemon Tea,Refreshing Drink,2.0,Beverages
Iced Latte,Coffee with milk,4.5,Beverages
Mocha Frappe,Mix of dark chocolate and coffee blended with ice,5.45,Beverages
